Exam1	Exam2	result
6.92	15.60	rejected
6.06	8.78	rejected
7.17	14.58	rejected
12.04	17.26	accepted
15.81	15.07	accepted
9.02	11.26	rejected
12.22	19.30	accepted
15.00	9.31	accepted
15.22	17.48	accepted
16.89	8.71	accepted
19.17	7.65	rejected
15.00	6.12	rejected
16.46	15.30	accepted
13.87	19.54	accepted
7.91	15.21	rejected
10.79	17.84	accepted
13.81	10.55	accepted
13.59	9.34	rejected
14.13	18.59	accepted
15.40	9.52	accepted
13.47	8.57	rejected
17.94	13.16	accepted
10.11	9.77	rejected
6.84	8.84	rejected
15.58	13.79	accepted
12.45	13.99	accepted
16.04	8.96	accepted
18.62	7.76	rejected
12.37	10.05	rejected
7.76	13.00	rejected
12.28	14.56	accepted
17.08	11.41	accepted
10.42	12.63	rejected
10.41	13.89	accepted
8.05	14.23	rejected
10.93	10.44	rejected
6.78	19.77	rejected
12.84	16.18	accepted
14.96	8.31	rejected
6.84	15.05	rejected
16.78	11.26	accepted
10.31	9.37	rejected
18.89	13.11	accepted
16.47	8.12	rejected
10.21	9.16	rejected
12.44	10.41	rejected
15.44	14.09	accepted
19.55	17.35	accepted
12.41	19.35	accepted
18.31	17.74	accepted
15.99	14.83	accepted
19.85	12.20	accepted
18.11	8.68	accepted
6.90	12.08	rejected
10.06	9.96	rejected
9.92	11.96	rejected
19.53	13.77	accepted
6.52	19.12	rejected
14.85	13.96	accepted
14.36	15.69	accepted
15.08	17.15	accepted
7.06	9.40	rejected
11.25	7.85	rejected
6.01	9.92	rejected
8.93	13.29	rejected
13.31	8.22	rejected
8.09	19.51	accepted
9.81	10.38	rejected
16.06	18.42	accepted
13.35	12.20	accepted
6.54	8.66	rejected
12.81	15.61	accepted
14.47	19.25	accepted
12.09	14.62	accepted
11.77	15.17	accepted
19.97	14.47	accepted
9.45	17.70	accepted
10.09	15.16	accepted
12.09	8.50	rejected
16.45	8.54	rejected
17.78	13.96	accepted
18.97	9.14	accepted
13.46	13.32	accepted
11.45	11.90	accepted
16.07	18.19	accepted
13.69	17.12	accepted
8.42	15.77	rejected
15.10	18.08	accepted
15.73	19.33	accepted
10.47	12.15	rejected
18.82	15.43	accepted
18.09	17.50	accepted
11.10	7.11	rejected
14.90	16.97	accepted
17.97	9.07	accepted
16.70	9.68	accepted
8.45	17.42	accepted
19.86	13.76	accepted
11.07	12.99	accepted
14.96	17.91	accepted
